transaction_id,timestamp,card_number,merchant,location,transaction_amount,device_type,is_international,failed_attempts,fraud_label
TXN1000,2026-05-04T00:19:41.149490,378282246310005,"Flores, Davies and Boyle",South Margaretland,4012.96,Mobile,0,3,0
TXN1001,2026-04-14T22:32:41.150268,5555555555554444,Murray Ltd,Cochranburgh,661.35,Desktop,1,1,0
TXN1002,2026-03-23T20:39:41.150581,5555555555554444,Roberson-Lloyd,Coffeyport,238.4,Mobile,0,5,0
TXN1003,2026-03-23T14:44:41.150890,4111111111111111,Weber Group,Lake Eugeneland,2627.96,Mobile,1,3,0
TXN1004,2026-03-17T03:44:41.151086,378282246310005,Brown and Sons,New Lauraton,1067.3,Desktop,0,4,0
TXN1005,2026-04-09T03:12:41.151269,4012888888881881,"Klein, Hernandez and Collier",Smithfurt,2090.09,ATM,0,1,1
TXN1006,2026-05-15T03:37:41.151657,4012888888881881,Le-Hanson,Scottfurt,4269.54,Desktop,0,5,0
TXN1007,2026-04-04T05:57:41.151949,4012888888881881,Campbell LLC,Phillipstad,937.88,Mobile,1,2,0
TXN1008,2026-04-05T18:56:41.152128,5555555555554444,"Cowan, Zimmerman and Conner",Bettyhaven,4559.68,Mobile,1,2,1
TXN1009,2026-04-26T18:21:41.152491,5555555555554444,Carlson LLC,West Brandon,3018.0,Mobile,1,5,0
TXN1010,2026-04-17T16:07:41.152716,4111111111111111,"Jarvis, Powell and Martin",Whitemouth,1129.53,Desktop,1,4,0
TXN1011,2026-04-19T15:43:41.153080,5555555555554444,"Kramer, Byrd and Cooley",Gambleview,3123.57,Desktop,0,5,0
TXN1012,2026-03-28T10:09:41.153431,4242424242424242,Torres-Ward,Pittstown,4252.92,Mobile,1,2,0
TXN1013,2026-03-20T18:13:41.153773,378282246310005,Murphy-Brown,Lake Amanda,4347.18,Mobile,1,2,1
TXN1014,2026-04-08T00:08:41.154026,4242424242424242,Thompson-Walter,Cummingsfurt,2122.07,POS,1,1,1
TXN1015,2026-05-17T15:06:41.154293,378282246310005,Crosby Group,Bryanside,3607.86,ATM,1,5,0
TXN1016,2026-03-25T12:22:41.154498,4242424242424242,"Morales, Robertson and Watts",New Angela,924.17,Mobile,0,3,0
TXN1017,2026-05-07T12:10:41.154854,378282246310005,Jones and Sons,Brownstad,4913.03,Mobile,0,1,0
TXN1018,2026-03-17T10:01:41.155044,4111111111111111,Spencer Ltd,North Elizabethview,4881.18,ATM,1,5,0
TXN1019,2026-04-26T01:33:41.155212,4111111111111111,Armstrong Inc,Lewischester,989.62,Desktop,0,5,0
TXN1020,2026-04-01T23:07:41.155416,4111111111111111,"Paul, Mann and Myers",Wellston,4079.76,ATM,0,0,0
TXN1021,2026-03-29T04:00:41.155802,5555555555554444,Hutchinson-Armstrong,Alexisville,4274.53,Mobile,0,3,0
TXN1022,2026-04-07T03:43:41.156049,4242424242424242,"Hopkins, Swanson and Gordon",West Joshuafurt,4553.42,POS,1,3,0
TXN1023,2026-03-14T23:44:41.156374,5555555555554444,Allen Group,New Isaacstad,2848.78,Desktop,0,1,0
TXN1024,2026-05-01T16:05:41.156540,4242424242424242,Frazier PLC,West Matthew,301.84,Mobile,1,3,1
TXN1025,2026-04-05T08:27:41.156702,4111111111111111,Martinez-Smith,Michaelmouth,2772.15,POS,1,5,0
TXN1026,2026-04-01T12:32:41.156979,4012888888881881,Reyes-Mendoza,Marquezbury,1173.04,POS,1,4,1
TXN1027,2026-04-15T19:43:41.157263,4111111111111111,"Gonzalez, Daugherty and Davila",Port Kariland,2107.18,ATM,0,2,0
TXN1028,2026-04-19T23:54:41.157662,4242424242424242,Barr-Miller,Jasonfort,4566.59,Desktop,1,5,0
TXN1029,2026-04-10T04:58:41.157912,378282246310005,Jensen Inc,North Zacharybury,3959.49,POS,1,1,0
TXN1030,2026-03-31T09:01:41.158102,4111111111111111,Nelson Inc,Davisfurt,4562.67,POS,1,3,0
TXN1031,2026-05-01T04:22:41.158330,4242424242424242,Miranda-Miller,Allisonville,232.41,Mobile,0,5,0
TXN1032,2026-04-23T18:50:41.158575,5555555555554444,George and Sons,Jonesmouth,3893.34,ATM,1,3,0
TXN1033,2026-05-06T17:32:41.158787,5555555555554444,"Carpenter, Baldwin and Olson",East Davidtown,1906.87,Mobile,1,2,0
TXN1034,2026-05-08T18:09:41.159142,378282246310005,Reyes and Sons,Jeffreybury,3760.36,POS,1,4,0
TXN1035,2026-04-08T22:05:41.159308,378282246310005,"Davis, Fletcher and Ross",Marissaburgh,3361.62,Desktop,1,0,0
TXN1036,2026-03-21T03:19:41.159624,4242424242424242,"Martinez, Gilbert and Smith",Millerfurt,454.63,POS,1,4,0
TXN1037,2026-04-09T17:32:41.159963,378282246310005,Carter LLC,New Zachary,4082.22,Mobile,1,4,0
TXN1038,2026-04-10T07:18:41.160146,5555555555554444,"Maxwell, Wong and Brown",Parsonsstad,2754.73,Desktop,1,2,0
TXN1039,2026-05-09T04:58:41.160505,4111111111111111,"Mcguire, Smith and Johnson",South Melanieshire,527.01,Desktop,1,3,0
TXN1040,2026-04-11T14:39:41.160829,4012888888881881,Armstrong Ltd,Davisfurt,2290.15,Mobile,1,5,0
TXN1041,2026-05-09T00:55:41.161016,4012888888881881,Hoffman-Patel,West William,3415.46,Mobile,1,5,0
TXN1042,2026-04-13T03:23:41.161294,4111111111111111,Greene and Sons,Port Anthony,1304.94,Desktop,0,4,0
TXN1043,2026-03-14T15:12:41.161478,378282246310005,Coleman-Thomas,Port Brooke,4491.37,Mobile,1,2,0
TXN1044,2026-04-29T01:36:41.161722,4111111111111111,Ballard-Wall,East Brianview,2771.77,Desktop,1,1,0
TXN1045,2026-04-02T00:57:41.161965,4242424242424242,"Richardson, Crane and Harris",Rodriguezfurt,378.78,POS,0,2,0
TXN1046,2026-05-16T19:10:41.162362,4012888888881881,"Bowen, Solis and White",East Daniel,1653.0,Desktop,0,2,0
